Uuid,Void/Retire,Workflow,State concept,Initial,Terminal
41a2753c-8a14-11e8-9a94-a6cf71072f73,,41a277d0-8a14-11e8-9a94-a6cf71072f73,f58e875f-de07-4cfd-8fc7-3e70b7390ecc,true,
41a27d48-8a14-11e8-9a94-a6cf71072f73,,41a277d0-8a14-11e8-9a94-a6cf71072f73,d16fc2d4-e736-4372-8cbf-99542e5dac5e,true,
2fa7008c-aa58-11e8-98d0-529269fb1459,,41a277d0-8a14-11e8-9a94-a6cf71072f73,d087f783-de30-4aea-8a4d-50ec72ed656a,true,
d31c4de9-48ac-4d60-9689-f3669bd1382d,,41a277d0-8a14-11e8-9a94-a6cf71072f73,59f75bbf-4a6f-42b9-92d4-9259cba548d2,true,
